      date,          T,          P,         Ep,          I,         Ea,       Dsum, S10_WatLvl
1977-01-01,   5.800000,   0.000000,   0.060600,   0.000000,   0.060600,   0.000000,  30.105704
1977-01-02,   4.500000,   0.000000,   0.050400,   0.000000,   0.050400,   0.000000,  30.105704
1977-01-03,   4.000000,   0.141000,   0.034800,   0.000000,   0.034800,   0.000000,  30.105704
1977-01-04,   4.800000,   1.551000,   0.030000,   0.000000,   0.030000,   0.909720,  30.105704
1977-01-05,   4.100000,   3.102000,   0.065400,   0.000000,   0.065400,   2.185848,  30.105704
1977-01-06,   0.700000,   0.987000,   0.069600,   0.000000,   0.069600,   1.424779,  30.105704
1977-01-07,   4.100000,   2.961000,   0.122400,   0.000000,   0.122400,   2.273072,  30.105704
1977-01-08,   6.800000,   0.846000,   0.054000,   0.000000,   0.054000,   1.384429,  30.105704
1977-01-09,   6.800000,   1.692000,   0.031200,   0.000000,   0.031200,   1.550251,  30.105704
1977-01-10,   3.900000,   1.692000,   0.099000,   0.000000,   0.099000,   1.575901,  30.105704
1977-01-11,   3.600000,   0.282000,   0.142800,   0.000000,   0.142800,   0.713880,  30.105704
1977-01-12,   5.200000,   9.588000,   0.030600,   0.000000,   0.030600,   6.019992,  30.105704
1977-01-13,   5.000000,   2.115000,   0.235200,   0.000000,   0.235200,   3.535877,  30.105704
1977-01-14,   6.000000,  10.152000,   0.070800,   0.000000,   0.070800,   7.463071,  30.105704
1977-01-15,   7.400000,   4.653000,   0.067800,   0.000000,   0.067800,   5.736348,  30.105704
1977-01-16,   7.300000,   0.987000,   0.085200,   0.000000,   0.085200,   2.835619,  30.105704
1977-01-17,   5.900000,   0.141000,   0.250800,   0.000000,   0.250800,   1.134248,  30.105704
1977-01-18,   6.000000,   0.000000,   0.084600,   0.000000,   0.084600,   0.453699,  30.105704
1977-01-19,   6.300000,   0.000000,   0.108600,   0.000000,   0.108600,   0.181480,  30.105704
1977-01-20,   5.600000,   3.102000,   0.181800,   0.000000,   0.181800,   1.642912,  30.105704
1977-01-21,   3.700000,   1.692000,   0.033000,   0.000000,   0.033000,   1.652565,  30.105704
1977-01-22,   3.500000,   0.423000,   0.244800,   0.000000,   0.244800,   0.767946,  30.105704
1977-01-23,   4.100000,   0.564000,   0.085800,   0.000000,   0.085800,   0.594098,  30.105704
