date;S11;S12
01-11-2014;48,20;203,77
02-11-2014;47,58;200,01
03-11-2014;58,26;222,93
04-11-2014;148,84;331,12
05-11-2014;76,15;274,27
06-11-2014;60,76;238,79
07-11-2014;55,42;225,79
08-11-2014;134,63;273,76
09-11-2014;97,04;293,01
10-11-2014;102,20;288,46
11-11-2014;112,35;318,59
12-11-2014;78,55;275,07
13-11-2014;71,27;259,12
14-11-2014;66,64;250,28
15-11-2014;62,77;241,24
16-11-2014;59,34;229,40
17-11-2014;62,59;236,71
18-11-2014;58,78;226,55
19-11-2014;55,23;215,40
20-11-2014;52,77;206,38
21-11-2014;50,82;199,65
22-11-2014;50,90;199,58
23-11-2014;58,53;225,01
24-11-2014;160,18;357,11
25-11-2014;92,51;325,12
26-11-2014;72,13;278,89
27-11-2014;64,21;258,61
28-11-2014;57,50;239,18
29-11-2014;53,49;225,31
30-11-2014;50,85;215,32
01-12-2014;48,96;207,61
02-12-2014;47,67;204,42
03-12-2014;45,41;197,98
04-12-2014;45,13;196,77
05-12-2014;48,53;212,38
06-12-2014;48,72;216,58
07-12-2014;113,52;298,50
08-12-2014;124,03;383,92
09-12-2014;82,88;327,39
10-12-2014;146,52;400,66
11-12-2014;171,90;458,36
12-12-2014;211,60;489,13
13-12-2014;244,18;528,73
14-12-2014;118,13;428,32
15-12-2014;246,51;528,52
16-12-2014;159,52;494,10
17-12-2014;130,89;463,13
18-12-2014;137,16;440,32
19-12-2014;151,42;486,59
20-12-2014;162,93;487,43
21-12-2014;132,49;466,99
22-12-2014;412,91;651,76
23-12-2014;151,56;521,54
24-12-2014;127,45;464,45
25-12-2014;191,61;522,28
26-12-2014;113,18;449,73
27-12-2014;91,59;403,04
28-12-2014;81,51;377,64
29-12-2014;80,14;373,73
30-12-2014;93,26;408,93
31-12-2014;88,67;409,29
01-01-2015;85,75;399,20
02-01-2015;205,73;561,53
03-01-2015;249,52;600,32
04-01-2015;158,00;552,18
05-01-2015;112,64;479,80
06-01-2015;99,10;447,81
07-01-2015;98,40;445,06
08-01-2015;164,78;532,42
09-01-2015;188,96;542,14
10-01-2015;154,71;497,71
11-01-2015;135,20;448,29
12-01-2015;136,16;431,97
13-01-2015;108,01;373,46
14-01-2015;99,59;337,39
15-01-2015;125,70;363,15
16-01-2015;110,55;363,46
17-01-2015;92,76;329,26
18-01-2015;99,29;338,77
19-01-2015;91,73;329,53
20-01-2015;82,51;303,36
21-01-2015;77,59;288,96
22-01-2015;71,75;272,46
23-01-2015;67,74;260,01
24-01-2015;68,01;263,29
25-01-2015;66,66;259,71
26-01-2015;159,20;368,63
27-01-2015;180,92;458,45
28-01-2015;225,31;459,15
29-01-2015;240,24;533,89
30-01-2015;130,37;430,68
31-01-2015;97,63;365,28
01-02-2015;82,45;330,49
02-02-2015;71,81;304,67
03-02-2015;66,53;281,05
04-02-2015;61,57;261,61
05-02-2015;58,61;227,45
06-02-2015;57,53;186,75
07-02-2015;63,27;199,59
08-02-2015;63,33;201,16
09-02-2015;68,64;224,61
10-02-2015;67,66;229,15
11-02-2015;64,20;224,57
12-02-2015;61,79;218,29
13-02-2015;61,72;217,68
14-02-2015;58,57;208,34
15-02-2015;55,15;197,40
16-02-2015;54,48;192,89
17-02-2015;53,37;187,32
18-02-2015;53,40;186,36
