      date,       T,       P,      Ep,       I,      Ea,    Dsum
1977-01-01,   5.800,   0.000,   0.073,   0.000,   0.073,   0.000
1977-01-02,   4.500,   0.000,   0.060,   0.000,   0.060,   0.000
1977-01-03,   4.000,   0.141,   0.042,   0.000,   0.042,   0.000
1977-01-04,   4.800,   1.551,   0.036,   0.000,   0.036,   0.761
1977-01-05,   4.100,   3.102,   0.078,   0.000,   0.078,   2.172
1977-01-06,   0.700,   0.987,   0.083,   0.000,   0.083,   1.415
1977-01-07,   4.100,   2.961,   0.147,   0.000,   0.147,   2.275
1977-01-08,   6.800,   0.846,   0.065,   0.000,   0.065,   1.355
1977-01-09,   6.800,   1.692,   0.037,   0.000,   0.037,   1.521
1977-01-10,   3.900,   1.692,   0.119,   0.000,   0.119,   1.569
1977-01-11,   3.600,   0.282,   0.171,   0.000,   0.171,   0.681
1977-01-12,   5.200,   9.588,   0.037,   0.000,   0.037,   6.103
1977-01-13,   5.000,   2.115,   0.282,   0.000,   0.282,   3.600
1977-01-14,   6.000,  10.152,   0.085,   0.000,   0.085,   7.507
1977-01-15,   7.400,   4.653,   0.081,   0.000,   0.081,   5.760
1977-01-16,   7.300,   0.987,   0.102,   0.000,   0.102,   2.736
1977-01-17,   5.900,   0.141,   0.300,   0.000,   0.300,   0.969
1977-01-18,   6.000,   0.000,   0.101,   0.000,   0.101,   0.347
1977-01-19,   6.300,   0.000,   0.130,   0.000,   0.130,   0.125
1977-01-20,   5.600,   3.102,   0.218,   0.000,   0.218,   1.635
1977-01-21,   3.700,   1.692,   0.040,   0.000,   0.040,   1.640
1977-01-22,   3.500,   0.423,   0.293,   0.000,   0.293,   0.753
1977-01-23,   4.100,   0.564,   0.103,   0.000,   0.103,   0.528
1977-01-24,   6.500,   0.000,   0.070,   0.000,   0.070,   0.188
1977-01-25,   2.200,   0.000,   0.089,   0.000,   0.089,   0.068
1977-01-26,   2.400,   0.000,   0.119,   0.000,   0.119,   0.025
1977-01-27,   5.500,   0.000,   0.332,   0.000,   0.332,   0.009
1977-01-28,   6.300,   7.614,   0.064,   0.000,   0.064,   4.278
