Daily mean flow
[%Y-%m-%d],  [l/s]
date,S2
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-21,
2017-01-22,
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-04,
2017-02-05,
2017-02-06,
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,
2017-02-11,
2017-02-12,
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-18,
2017-02-19,
2017-02-20,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-25,
2017-02-26,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-04,
2017-03-05,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-22,
2017-04-23,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,30.408749999999998
2017-05-06,30.16875
2017-05-07,29.104166666666668
2017-05-08,26.82166666666667
2017-05-09,26.92
2017-05-10,28.14708333333333
2017-05-11,26.286666666666665
2017-05-12,25.0675
2017-05-13,24.449583333333333
2017-05-14,23.40041666666667
2017-05-15,22.03708333333333
2017-05-16,35.595416666666665
2017-05-17,28.68958333333333
2017-05-18,25.9075
2017-05-19,24.16
2017-05-20,25.936666666666667
2017-05-21,22.133750000000003
2017-05-22,21.518333333333334
2017-05-23,21.307083333333335
2017-05-24,19.590416666666666
2017-05-25,18.84375
2017-05-26,18.536666666666665
2017-05-27,18.085
2017-05-28,18.4525
2017-05-29,17.995833333333334
2017-05-30,17.9275
2017-05-31,16.84
2017-06-01,15.524166666666666
2017-06-02,15.085416666666667
2017-06-03,15.2675
2017-06-04,15.104999999999999
2017-06-05,14.320833333333333
2017-06-06,15.988750000000001
2017-06-07,28.332916666666666
2017-06-08,22.822083333333335
2017-06-09,121.38583333333334
2017-06-10,86.55
2017-06-11,46.48416666666666
2017-06-12,41.49208333333333
2017-06-13,30.18875
2017-06-14,25.364583333333332
2017-06-15,23.450416666666666
2017-06-16,22.17625
2017-06-17,19.707916666666666
2017-06-18,18.734583333333333
2017-06-19,17.816666666666666
2017-06-20,17.209166666666665
2017-06-21,16.49125
2017-06-22,21.455
2017-06-23,18.059583333333332
2017-06-24,19.228333333333335
2017-06-25,16.701666666666668
2017-06-26,15.154583333333333
2017-06-27,14.405000000000001
2017-06-28,14.884583333333333
2017-06-29,37.810833333333335
2017-06-30,61.75625
2017-07-01,52.05083333333334
2017-07-02,28.55458333333333
2017-07-03,84.12833333333333
2017-07-04,51.07375
2017-07-05,31.98708333333333
2017-07-06,25.533749999999998
2017-07-07,23.774583333333336
2017-07-08,21.72083333333333
2017-07-09,19.366666666666667
2017-07-10,18.895416666666666
2017-07-11,21.256666666666664
2017-07-12,18.955000000000002
2017-07-13,16.451666666666668
2017-07-14,16.19625
2017-07-15,15.434166666666668
2017-07-16,19.200416666666666
2017-07-17,15.614583333333334
2017-07-18,14.895833333333334
2017-07-19,14.60125
2017-07-20,18.435416666666665
2017-07-21,19.742916666666666
2017-07-22,15.120416666666666
2017-07-23,79.77
2017-07-24,34.817083333333336
2017-07-25,29.920416666666668
2017-07-26,25.114583333333332
2017-07-27,20.72041666666667
2017-07-28,22.134583333333335
2017-07-29,28.044166666666666
2017-07-30,32.49208333333333
2017-07-31,26.95041666666667
2017-08-01,20.569166666666668
2017-08-02,18.052083333333332
2017-08-03,70.61041666666667
